Time,Activity,PebbleDevice,PebbleAccX,PebbleAccY,PebbleAccZ,Lat,Long
1.50056936109e+12,user5,PebbleTimeSteel,-345.0,246.0,-816.0,30.6189358,-96.3395157
1.50056936113e+12,user5,PebbleTimeSteel,-338.0,247.0,-810.0,30.6189358,-96.3395157
1.50056936117e+12,user5,PebbleTimeSteel,-349.0,263.0,-814.0,30.6189358,-96.3395157
1.50056936121e+12,user5,PebbleTimeSteel,-340.0,255.0,-812.0,30.6189358,-96.3395157
1.50056936125e+12,user5,PebbleTimeSteel,-340.0,248.0,-805.0,30.6189358,-96.3395157
1.50056936129e+12,user5,PebbleTimeSteel,-343.0,257.0,-816.0,30.6189358,-96.3395157
1.50056936133e+12,user5,PebbleTimeSteel,-343.0,257.0,-804.0,30.6189358,-96.3395157
1.50056936137e+12,user5,PebbleTimeSteel,-350.0,246.0,-813.0,30.6189358,-96.3395157
1.50056936141e+12,user5,PebbleTimeSteel,-348.0,247.0,-805.0,30.6189358,-96.3395157
1.50056936145e+12,user5,PebbleTimeSteel,-343.0,260.0,-807.0,30.6189358,-96.3395157
1.50056936149e+12,user5,PebbleTimeSteel,-347.0,254.0,-810.0,30.6189358,-96.3395157
1.50056936153e+12,user5,PebbleTimeSteel,-345.0,253.0,-807.0,30.6189358,-96.3395157
1.50056936157e+12,user5,PebbleTimeSteel,-341.0,259.0,-805.0,30.6189358,-96.3395157
1.50056936161e+12,user5,PebbleTimeSteel,-343.0,268.0,-812.0,30.6189358,-96.3395157
1.50056936165e+12,user5,PebbleTimeSteel,-341.0,260.0,-807.0,30.6189358,-96.3395157
1.50056936169e+12,user5,PebbleTimeSteel,-343.0,260.0,-803.0,30.6188784,-96.3395468
1.50056936173e+12,user5,PebbleTimeSteel,-342.0,263.0,-805.0,30.6188784,-96.3395468
1.50056936177e+12,user5,PebbleTimeSteel,-342.0,262.0,-810.0,30.6188784,-96.3395468
1.50056936181e+12,user5,PebbleTimeSteel,-339.0,252.0,-807.0,30.6188784,-96.3395468
1.50056936185e+12,user5,PebbleTimeSteel,-342.0,254.0,-806.0,30.6188784,-96.3395468
1.50056936189e+12,user5,PebbleTimeSteel,-344.0,244.0,-815.0,30.6188784,-96.3395468
1.50056936193e+12,user5,PebbleTimeSteel,-344.0,250.0,-810.0,30.6188784,-96.3395468
1.50056936197e+12,user5,PebbleTimeSteel,-347.0,256.0,-814.0,30.6188784,-96.3395468
1.50056936201e+12,user5,PebbleTimeSteel,-345.0,257.0,-809.0,30.6188784,-96.3395468
1.50056936205e+12,user5,PebbleTimeSteel,-348.0,255.0,-811.0,30.6188784,-96.3395468
1.50056936209e+12,user5,PebbleTimeSteel,-343.0,253.0,-807.0,30.6188784,-96.3395468
1.50056936213e+12,user5,PebbleTimeSteel,-345.0,255.0,-812.0,30.6188784,-96.3395468
1.50056936217e+12,user5,PebbleTimeSteel,-343.0,257.0,-815.0,30.6188784,-96.3395468
1.50056936221e+12,user5,PebbleTimeSteel,-343.0,249.0,-817.0,30.6188784,-96.3395468
1.50056936225e+12,user5,PebbleTimeSteel,-343.0,260.0,-812.0,30.6188784,-96.3395468
