Variance X,Variance Y,Variance Z,Avg Height X,Avg Height Y,Avg Height Z,Stdev Height X,Stdev Height Y,Stdev Height Z,Energy X,Energy Y,Energy Z,Entropy X,Entropy Y,Entropy Z,Average X,Average Y,Average Z,Average XY,Average XZ,Average YZ,Standard Deviation X,Standard Deviation Y,Standard Deviation Z,Correlation XY,Correlation XZ,Correlation YZ,RMS X,RMS Y,RMS Z,Axis Order XY,Axis Order XZ,Axis Order YZ,Num Peaks X,Num Peaks Y,Num Peaks Z,Average Peaks X,Average Peaks Y,Average Peaks Z,Standard Deviation Peaks X,Standard Deviation Peaks Y,Standard Deviation Peaks Z,Num Valleys X,Num Valleys Y,Num Valleys Z,Average Valleys X,Average Valleys Y,Average Valleys Z,Standard Deviation Valleys X,Standard Deviation Valleys Y,Standard Deviation Valleys Z,Zero Crossings X,Zero Crossings Y,Zero Crossings Z,Num Points,RoadType
12028.457599999998,4019.5615999999995,24488.9696,90.0,205.0,72.0,0.0,9.41629792788369,0.0,7817081.999999998,150485.99999999997,12950582.999999998,-0.0,0.3307317761933133,-0.0,-548.32,44.72,-702.52,-563.84,144.36,708.2,109.67432516318485,63.40001261829527,156.4895191378643,-24056.08,401958.08,-30514.36,559.1809009613974,77.5850501063188,719.7383691314504,0,0,0,2,2,2,-375.0,162.5,-405.0,45.0,2.5,36.0,0,2,0,-546.0,-47.0,-649.0,0.0,11.0,0.0,0,0,0,25,bricks
30432.094674556211,9106.1479289940835,52624.02514792898,78.0,387.0,932.5,0.0,0.0,65.5,9642345.999999998,407022.00000000023,13105377.000000004,-0.0,0.29555225711669114,-0.0,-583.4615384615385,80.92307692307692,-671.8846153846154,-627.6923076923077,101.5,729.1923076923077,174.44797125377013,95.42613860465109,229.39927015561534,-45691.42307692308,379516.6153846154,-61780.769230769234,608.9823162772968,125.11871285979691,709.9668735500703,0,17,0,2,1,2,-343.0,240.0,-314.5,39.0,0.0,65.5,0,1,1,-572.0,-147.0,-1247.0,0.0,0.0,0.0,0,0,0,26,bricks
51590.863905325445,15120.652366863906,102764.72928994081,394.0,415.0,708.6666666666666,337.0,0.0,411.1855488165356,11447673.999999996,445876.99999999965,14516783.0,-0.0,0.5254394768853101,-0.0,-623.4615384615385,45.03846153846154,-674.9615384615385,-647.0384615384615,40.46153846153846,687.5,227.13622323470435,122.96606184986126,320.569382957794,-16692.346153846152,400186.42307692306,-50957.53846153846,663.5474013558895,130.9546310163004,747.2200530582057,0,13,1,1,1,1,-194.0,268.0,-227.0,0.0,0.0,0.0,2,1,3,-896.5,-147.0,-1293.3333333333333,28.5,0.0,117.66997162497415,0,0,0,26,bricks
47363.053254437873,12199.155325443786,145563.43786982249,882.0,450.0,1247.0,0.0,35.0,134.65016400534634,9556167.999999993,323178.9999999999,15081227.999999993,-0.0,0.4362648683576684,0.009501660088162736,-565.8461538461538,15.192307692307692,-659.1538461538462,-552.5769230769231,113.26923076923077,665.8461538461538,217.63054301829482,110.44978644363141,381.52776815039624,-3890.0,347505.3846153846,-27824.884615384617,606.2548334462358,111.4897373683405,761.6083184742869,0,14,2,1,2,2,-180.0,210.0,-130.0,0.0,35.0,97.0,1,1,2,-1062.0,-240.0,-1367.0,0.0,0.0,67.0,0,0,0,26,bricks
40399.390532544377,9565.378698224853,98056.936390532559,552.0,333.0,1285.5,74.87322618933953,0.0,7.5,7075393.999999997,330012.00000000006,14340444.999999994,-0.0,0.44053574297378256,0.009302282783795638,-481.38461538461536,55.92307692307692,-673.4230769230769,-519.7692307692307,155.8846153846154,675.6538461538462,200.99599630973844,97.80275404212733,313.14044195940664,-25387.26923076923,308524.1538461539,-48310.03846153846,521.6613254416494,112.66219077742643,742.667877939444,0,9,1,3,1,1,-240.33333333333334,175.0,57.0,42.30313883809989,0.0,0.0,3,1,2,-792.6666666666666,-158.0,-1228.5,68.52898818910303,0.0,7.5,0,0,0,26,bricks
49780.071005917147,7338.25,95432.307692307688,767.0,0.0,1104.6666666666667,114.0,0.0,117.6444738278098,7282762.000000013,298961.0,14433024.000000004,0.010520368783155074,0.33386055165236345,-0.0,-479.9230769230769,64.5,-678.0,-531.6538461538462,180.6153846153846,712.2692307692307,223.11447959717262,85.66358619623627,308.9211998104172,-35144.38461538462,300081.6923076923,-39249.07692307692,529.250631335694,107.23105893350116,745.0612778102937,0,9,0,2,1,2,-68.0,228.0,-124.0,114.0,0.0,112.0,1,0,2,-835.0,61.0,-1258.5,0.0,0.0,22.5,0,0,0,26,bricks
37274.610946745561,6663.0902366863902,113921.78254437869,887.0,319.0,815.75,0.0,14.0,354.95307788495086,6696570.999999999,218185.0000000002,15146751.0,0.01075478793980824,0.4808075212814311,-0.0,-469.34615384615387,41.57692307692308,-684.5769230769231,-491.0,179.34615384615384,670.3461538461538,193.06633820204277,81.62775408331647,337.5230103924453,-20786.576923076922,289046.6153846154,-28186.19230769231,507.5041113891818,91.60639043882675,763.2609947808456,1,8,0,1,2,3,46.0,184.0,-108.66666666666667,0.0,14.0,145.2752177382257,1,1,2,-841.0,-135.0,-1142.0,0.0,0.0,139.0,1,0,0,26,bricks
26871.301775147931,7672.2544378698221,95307.652366863898,691.0,273.0,314.0,0.0,0.0,0.0,7174676.000000006,450360.00000000023,16563566.999999994,-0.0,0.18507618094748424,-0.0,-499.0769230769231,98.23076923076923,-736.0384615384615,-573.3461538461538,209.8846153846154,783.2307692307693,163.92468323943146,87.59140618730711,308.71937478374093,-56626.38461538462,353272.6538461539,-64457.269230769234,525.3085540166626,131.61131585672433,798.1605535421863,1,8,0,1,1,2,-5.0,198.0,-157.0,0.0,0.0,157.0,1,1,0,-696.0,-75.0,-760.0,0.0,0.0,0.0,0,0,0,26,bricks
38631.001479289938,8942.6745562130163,108486.58136094674,536.3333333333334,339.6666666666667,1043.5,96.66551723454555,15.839472494022296,121.5,8507371.000000004,539673.9999999994,19616212.999999985,-0.0,0.15835353183114348,-0.0,-537.1923076923077,108.6923076923077,-803.7307692307693,-634.7307692307693,233.96153846153845,868.6923076923077,196.5477078963017,94.56571554328248,329.3730124963895,-61279.11538461538,412711.73076923075,-93156.03846153847,572.0197347321829,144.07183037531073,868.6021705989634,0,7,0,2,2,1,-177.5,277.0,-249.0,116.5,16.0,0.0,2,2,2,-766.0,-51.5,-1292.5,40.0,17.5,121.5,0,1,0,26,bricks
48143.167159763318,6760.2322485207105,110689.4023668639,882.5,194.66666666666666,1232.5,71.5,99.87102794215258,96.5,7999031.000000001,377990.99999999953,20679932.000000007,0.017536666453646876,0.17206465031434745,-0.0,-509.4230769230769,88.1923076923077,-827.4615384615385,-585.3076923076923,292.2692307692308,877.5769230769231,219.4155125777649,82.22063152591757,332.7001688711082,-42388.0,400206.26923076925,-85633.19230769231,554.6666011772644,120.57410743860136,891.8419142426532,0,7,0,2,2,2,10.5,223.0,-181.5,71.5,38.0,96.5,1,2,1,-872.0,-42.0,-1414.0,0.0,27.0,0.0,0,0,0,26,bricks
