Time,Activity,PebbleDevice,PebbleAccX,PebbleAccY,PebbleAccZ,Lat,Long,XYZ
1500576340020,heather,PebbleTimeSteel,-608,-170,-451,30.618904,-96.3394279,Z
1500576340060,heather,PebbleTimeSteel,-567,-402,-896,30.618904,-96.3394279,Y
1500576340100,heather,PebbleTimeSteel,-406,-473,-744,30.618904,-96.3394279,Y
1500576340140,heather,PebbleTimeSteel,-509,-13,-900,30.618904,-96.3394279,X
1500576340180,heather,PebbleTimeSteel,-454,-36,-724,30.618904,-96.3394279,Y
1500576340220,heather,PebbleTimeSteel,-513,38,-896,30.618904,-96.3394279,X
1500576340260,heather,PebbleTimeSteel,-429,359,-725,30.618904,-96.3394279,Z
1500576340300,heather,PebbleTimeSteel,-508,160,-857,30.618904,-96.3394279,X
1500576340340,heather,PebbleTimeSteel,-388,1,-752,30.618904,-96.3394279,X
1500576340380,heather,PebbleTimeSteel,-453,-111,-881,30.618904,-96.3394279,Z
1500576340420,heather,PebbleTimeSteel,-556,-306,-723,30.618904,-96.3394279,X
1500576340460,heather,PebbleTimeSteel,-614,-404,-646,30.618904,-96.3394279,Z
1500576340500,heather,PebbleTimeSteel,-682,-218,-736,30.618904,-96.3394279,X
1500576340540,heather,PebbleTimeSteel,-719,-9,-634,30.618904,-96.3394279,X
1500576340580,heather,PebbleTimeSteel,-687,88,-582,30.618904,-96.3394279,Y
1500576340630,heather,PebbleTimeSteel,-523,32,-672,30.618904,-96.3394279,X
1500576340670,heather,PebbleTimeSteel,-526,52,-738,30.618904,-96.3394279,Y
1500576340710,heather,PebbleTimeSteel,-614,-95,-625,30.618904,-96.3394279,Y
1500576340750,heather,PebbleTimeSteel,-601,51,-971,30.618904,-96.3394279,X
1500576340790,heather,PebbleTimeSteel,-610,302,-984,30.618904,-96.3394279,Y
1500576340830,heather,PebbleTimeSteel,-734,170,-620,30.618904,-96.3394279,Z
1500576340870,heather,PebbleTimeSteel,-506,295,-845,30.618904,-96.3394279,Z
1500576340910,heather,PebbleTimeSteel,-552,-35,-518,30.618904,-96.3394279,X
1500576340950,heather,PebbleTimeSteel,-266,159,-1223,30.618904,-96.3394279,X
1500576340990,heather,PebbleTimeSteel,-280,189,-1179,30.618904,-96.3394279,Y
1500576341020,heather,PebbleTimeSteel,-446,188,-984,30.618904,-96.3394279,Z
1500576341060,heather,PebbleTimeSteel,-489,62,-736,30.618904,-96.3394279,X
1500576341100,heather,PebbleTimeSteel,-562,108,-754,30.618904,-96.3394279,Z
1500576341140,heather,PebbleTimeSteel,-557,183,-755,30.618904,-96.3394279,Y
1500576341180,heather,PebbleTimeSteel,-420,383,-687,30.618904,-96.3394279,Z
1500576341220,heather,PebbleTimeSteel,-512,161,-878,30.618904,-96.3394279,Y
1500576341260,heather,PebbleTimeSteel,-510,276,-879,30.618904,-96.3394279,Z
1500576341300,heather,PebbleTimeSteel,-304,-5,-855,30.618904,-96.3394279,Z
1500576341340,heather,PebbleTimeSteel,-719,334,-236,30.618904,-96.3394279,X
1500576341380,heather,PebbleTimeSteel,-547,489,-828,30.618904,-96.3394279,Y
1500576341430,heather,PebbleTimeSteel,-430,176,-540,30.618904,-96.3394279,X
1500576341470,heather,PebbleTimeSteel,-346,187,-1075,30.618904,-96.3394279,Z
1500576341510,heather,PebbleTimeSteel,-433,113,-583,30.618904,-96.3394279,Y
1500576341550,heather,PebbleTimeSteel,-475,329,-741,30.618904,-96.3394279,Z
1500576341590,heather,PebbleTimeSteel,-379,237,-785,30.618904,-96.3394279,X
1500576341630,heather,PebbleTimeSteel,-382,288,-808,30.618904,-96.3394279,Y
1500576341670,heather,PebbleTimeSteel,-428,382,-825,30.618904,-96.3394279,X
1500576341710,heather,PebbleTimeSteel,-431,183,-751,30.618904,-96.3394279,X
1500576341750,heather,PebbleTimeSteel,-410,135,-752,30.618904,-96.3394279,Y
1500576341790,heather,PebbleTimeSteel,-443,256,-677,30.618904,-96.3394279,Y
1500576341830,heather,PebbleTimeSteel,-386,356,-874,30.618904,-96.3394279,Y
1500576341870,heather,PebbleTimeSteel,-543,86,-749,30.618904,-96.3394279,X
1500576341910,heather,PebbleTimeSteel,-373,68,-790,30.618904,-96.3394279,Y
1500576341950,heather,PebbleTimeSteel,-356,-75,-606,30.618904,-96.3394279,X
1500576341990,heather,PebbleTimeSteel,18,-89,-514,30.618904,-96.3394279,Y
1500576342030,heather,PebbleTimeSteel,-532,184,-895,30.618904,-96.3394279,Z
1500576342070,heather,PebbleTimeSteel,-890,66,-847,30.618904,-96.3394279,Y
1500576342110,heather,PebbleTimeSteel,-681,120,-374,30.618904,-96.3394279,X
1500576342150,heather,PebbleTimeSteel,-589,198,-523,30.618904,-96.3394279,Y
1500576342190,heather,PebbleTimeSteel,-606,154,-746,30.618904,-96.3394279,X
1500576342230,heather,PebbleTimeSteel,-743,-44,-832,30.618904,-96.3394279,Y
1500576342270,heather,PebbleTimeSteel,-595,-92,-685,30.618904,-96.3394279,Y
1500576342310,heather,PebbleTimeSteel,-533,-31,-767,30.618904,-96.3394279,Y
1500576342350,heather,PebbleTimeSteel,-523,-127,-640,30.618904,-96.3394279,Z
1500576342390,heather,PebbleTimeSteel,-623,61,-672,30.618904,-96.3394279,Z
1500576342430,heather,PebbleTimeSteel,-681,-134,-705,30.618904,-96.3394279,Y
1500576342470,heather,PebbleTimeSteel,-596,-45,-1160,30.618904,-96.3394279,Z
1500576342510,heather,PebbleTimeSteel,-557,1215,-1954,30.618904,-96.3394279,X
1500576342550,heather,PebbleTimeSteel,-618,144,-870,30.618904,-96.3394279,X
1500576342590,heather,PebbleTimeSteel,-595,2,-990,30.618904,-96.3394279,Z
1500576342630,heather,PebbleTimeSteel,-406,74,-870,30.618904,-96.3394279,Y
1500576342670,heather,PebbleTimeSteel,-500,-16,-832,30.618904,-96.3394279,X
1500576342710,heather,PebbleTimeSteel,-617,36,-650,30.618904,-96.3394279,Y
1500576342750,heather,PebbleTimeSteel,-769,67,-714,30.618904,-96.3394279,Y
1500576342790,heather,PebbleTimeSteel,-592,57,-846,30.618904,-96.3394279,Y
1500576343230,heather,PebbleTimeSteel,-225,-349,-1001,30.618904,-96.3394279,X
1500576343270,heather,PebbleTimeSteel,-834,80,-1340,30.618904,-96.3394279,Y
1500576343310,heather,PebbleTimeSteel,-383,-109,-793,30.618904,-96.3394279,X
1500576343350,heather,PebbleTimeSteel,-511,83,-1231,30.618904,-96.3394279,Z
1500576343390,heather,PebbleTimeSteel,-529,-167,-855,30.618904,-96.3394279,Y
1500576343430,heather,PebbleTimeSteel,-352,138,-936,30.618904,-96.3394279,Y
1500576343470,heather,PebbleTimeSteel,-433,106,-724,30.618904,-96.3394279,Y
1500576343510,heather,PebbleTimeSteel,-424,-133,-708,30.618904,-96.3394279,Z
1500576343550,heather,PebbleTimeSteel,-424,27,-903,30.618904,-96.3394279,Y
1500576343590,heather,PebbleTimeSteel,-359,-70,-906,30.618904,-96.3394279,X
1500576343630,heather,PebbleTimeSteel,-332,77,-883,30.618904,-96.3394279,Z
1500576343670,heather,PebbleTimeSteel,-427,-204,-598,30.618904,-96.3394279,Y
1500576343710,heather,PebbleTimeSteel,-357,-237,-746,30.618904,-96.3394279,X
1500576343750,heather,PebbleTimeSteel,-268,321,-863,30.618904,-96.3394279,Z
1500576343790,heather,PebbleTimeSteel,-413,294,-1142,30.618904,-96.3394279,X
1500576343830,heather,PebbleTimeSteel,-412,-178,-809,30.618904,-96.3394279,X
1500576343870,heather,PebbleTimeSteel,-707,-153,-998,30.618904,-96.3394279,Z
1500576343910,heather,PebbleTimeSteel,-591,-71,-980,30.618904,-96.3394279,Y
1500576343950,heather,PebbleTimeSteel,-384,99,-790,30.618904,-96.3394279,Z
1500576343990,heather,PebbleTimeSteel,-330,86,-950,30.618904,-96.3394279,Z
1500576344030,heather,PebbleTimeSteel,-259,13,-722,30.618904,-96.3394279,X
1500576344070,heather,PebbleTimeSteel,-223,110,-1251,30.618904,-96.3394279,Z
1500576344110,heather,PebbleTimeSteel,-378,78,-947,30.618904,-96.3394279,Y
1500576344150,heather,PebbleTimeSteel,-517,-226,-683,30.618904,-96.3394279,Z
1500576344190,heather,PebbleTimeSteel,-555,-25,-631,30.618904,-96.3394279,Y
1500576344230,heather,PebbleTimeSteel,-751,275,-1067,30.618904,-96.3394279,Z
1500576344270,heather,PebbleTimeSteel,-659,85,-331,30.618904,-96.3394279,Z
1500576344310,heather,PebbleTimeSteel,-428,-17,-1072,30.618904,-96.3394279,Y
1500576344350,heather,PebbleTimeSteel,-730,1,-782,30.618904,-96.3394279,Z
1500576344390,heather,PebbleTimeSteel,-278,-117,-837,30.618904,-96.3394279,Z
1500576344430,heather,PebbleTimeSteel,-590,194,-931,30.618904,-96.3394279,Z
1500576344470,heather,PebbleTimeSteel,-611,-7,-526,30.618904,-96.3394279,Y
1500576344510,heather,PebbleTimeSteel,-618,-42,-974,30.618904,-96.3394279,Y
1500576344550,heather,PebbleTimeSteel,-503,115,-696,30.618904,-96.3394279,Z
1500576344590,heather,PebbleTimeSteel,-554,191,-639,30.618904,-96.3394279,X
1500576344630,heather,PebbleTimeSteel,-640,332,-830,30.618904,-96.3394279,Y
1500576344670,heather,PebbleTimeSteel,-630,68,22,30.618904,-96.3394279,Z
1500576344710,heather,PebbleTimeSteel,-436,368,-1081,30.618904,-96.3394279,X
1500576344750,heather,PebbleTimeSteel,-286,437,-1140,30.618904,-96.3394279,Z
1500576344790,heather,PebbleTimeSteel,-475,-224,-423,30.618904,-96.3394279,X
1500576344830,heather,PebbleTimeSteel,-661,26,-131,30.618904,-96.3394279,X
1500576344870,heather,PebbleTimeSteel,-529,378,-833,30.618904,-96.3394279,Y
1500576344910,heather,PebbleTimeSteel,-619,6,-566,30.618904,-96.3394279,Z
1500576344950,heather,PebbleTimeSteel,-304,-41,-1209,30.618904,-96.3394279,X
1500576344990,heather,PebbleTimeSteel,-371,86,-822,30.618904,-96.3394279,X
1500576345030,heather,PebbleTimeSteel,-595,24,-975,30.618904,-96.3394279,Z
1500576345070,heather,PebbleTimeSteel,-450,-356,-769,30.618904,-96.3394279,Z
1500576345110,heather,PebbleTimeSteel,-273,-160,-1149,30.618904,-96.3394279,Y
1500576345150,heather,PebbleTimeSteel,-552,196,-601,30.618904,-96.3394279,Y
1500576345190,heather,PebbleTimeSteel,-334,84,-532,30.618904,-96.3394279,Y
1500576345230,heather,PebbleTimeSteel,-394,97,-696,30.618904,-96.3394279,X
1500576345270,heather,PebbleTimeSteel,-373,165,-905,30.618904,-96.3394279,Y
1500576345310,heather,PebbleTimeSteel,-336,249,-444,30.618904,-96.3394279,Y
1500576345350,heather,PebbleTimeSteel,-314,306,-1077,30.618904,-96.3394279,Y
1500576345390,heather,PebbleTimeSteel,-676,-220,-384,30.618904,-96.3394279,Z
1500576345430,heather,PebbleTimeSteel,-567,185,-581,30.618904,-96.3394279,Y
1500576345470,heather,PebbleTimeSteel,-713,92,-443,30.618904,-96.3394279,Z
1500576345510,heather,PebbleTimeSteel,-387,73,-1264,30.618904,-96.3394279,Y
1500576345550,heather,PebbleTimeSteel,-583,48,-472,30.618904,-96.3394279,X
1500576345590,heather,PebbleTimeSteel,-425,6,-825,30.618904,-96.3394279,X
1500576345630,heather,PebbleTimeSteel,-507,170,-691,30.618904,-96.3394279,X
1500576345670,heather,PebbleTimeSteel,-529,-260,-761,30.618904,-96.3394279,X
1500576345710,heather,PebbleTimeSteel,-672,19,-478,30.618904,-96.3394279,Y
1500576345750,heather,PebbleTimeSteel,-731,-52,-400,30.618904,-96.3394279,Y
1500576345790,heather,PebbleTimeSteel,-610,384,-394,30.618904,-96.3394279,Z
1500576345830,heather,PebbleTimeSteel,-661,-27,-700,30.618904,-96.3394279,Y
1500576345870,heather,PebbleTimeSteel,-613,219,-917,30.618904,-96.3394279,Y
1500576345910,heather,PebbleTimeSteel,-492,20,-833,30.618904,-96.3394279,Z
1500576345950,heather,PebbleTimeSteel,-482,187,-438,30.618904,-96.3394279,Z
1500576345990,heather,PebbleTimeSteel,-338,240,-1128,30.618904,-96.3394279,Z
1500576346030,heather,PebbleTimeSteel,-755,214,-585,30.618904,-96.3394279,X
1500576346070,heather,PebbleTimeSteel,-857,156,-732,30.618904,-96.3394279,X
1500576346110,heather,PebbleTimeSteel,-434,171,-815,30.618904,-96.3394279,X
1500576346150,heather,PebbleTimeSteel,-478,135,-789,30.618904,-96.3394279,X
1500576346190,heather,PebbleTimeSteel,-259,154,-1233,30.618904,-96.3394279,Z
1500576346230,heather,PebbleTimeSteel,-751,147,-1635,30.618904,-96.3394279,Z
1500576346270,heather,PebbleTimeSteel,-244,37,-543,30.618904,-96.3394279,Z
1500576346310,heather,PebbleTimeSteel,-525,-17,-1369,30.618904,-96.3394279,X
1500576346350,heather,PebbleTimeSteel,-368,34,-779,30.618904,-96.3394279,X
1500576346390,heather,PebbleTimeSteel,-515,16,-1157,30.618904,-96.3394279,X
1500576346440,heather,PebbleTimeSteel,-271,38,-1079,30.618904,-96.3394279,Z
1500576346480,heather,PebbleTimeSteel,-244,290,-1022,30.618904,-96.3394279,Z
1500576346520,heather,PebbleTimeSteel,-614,375,-1331,30.618904,-96.3394279,X
1500576346560,heather,PebbleTimeSteel,-708,165,-58,30.618904,-96.3394279,Z
1500576346600,heather,PebbleTimeSteel,-756,195,-1159,30.618904,-96.3394279,Z
1500576346630,heather,PebbleTimeSteel,-721,252,-1306,30.618904,-96.3394279,Y
1500576346670,heather,PebbleTimeSteel,-815,-147,-173,30.618904,-96.3394279,Y
1500576346710,heather,PebbleTimeSteel,-619,171,-356,30.618904,-96.3394279,Z
1500576346750,heather,PebbleTimeSteel,-443,274,-823,30.618904,-96.3394279,Y
1500576346790,heather,PebbleTimeSteel,-639,14,-702,30.618904,-96.3394279,Z
1500576346830,heather,PebbleTimeSteel,-631,12,-668,30.618904,-96.3394279,Z
1500576346870,heather,PebbleTimeSteel,-772,-96,-827,30.618904,-96.3394279,Y
1500576346910,heather,PebbleTimeSteel,-520,-113,-598,30.618904,-96.3394279,X
1500576346950,heather,PebbleTimeSteel,-767,-31,-557,30.618904,-96.3394279,Y
1500576346990,heather,PebbleTimeSteel,-355,145,-658,30.618904,-96.3394279,Z
1500576347040,heather,PebbleTimeSteel,84,70,-942,30.618904,-96.3394279,Z
1500576347080,heather,PebbleTimeSteel,-714,60,-1290,30.618904,-96.3394279,Z
1500576347120,heather,PebbleTimeSteel,-473,29,-749,30.618904,-96.3394279,Z
1500576347160,heather,PebbleTimeSteel,-472,250,-617,30.618904,-96.3394279,Z
1500576347200,heather,PebbleTimeSteel,-238,-1,-290,30.618904,-96.3394279,Y
1500576347240,heather,PebbleTimeSteel,-361,264,-1459,30.618904,-96.3394279,X
1500576347280,heather,PebbleTimeSteel,-484,-125,-318,30.618904,-96.3394279,Z
1500576347320,heather,PebbleTimeSteel,246,-81,-717,30.618904,-96.3394279,X
1500576347360,heather,PebbleTimeSteel,-554,-69,-731,30.618904,-96.3394279,Y
1500576347400,heather,PebbleTimeSteel,-384,166,-981,30.618904,-96.3394279,Z
1500576347440,heather,PebbleTimeSteel,-367,116,-1061,30.618904,-96.3394279,Y
1500576347480,heather,PebbleTimeSteel,-327,189,-805,30.618904,-96.3394279,Y
1500576347520,heather,PebbleTimeSteel,-722,-25,-1088,30.618904,-96.3394279,X
