Time,Activity,PhoneDevice,android_sensor_accelerometer0,android_sensor_accelerometer1,android_sensor_accelerometer2,Lat,Long,XYZ
1500569221750,georgia,motorola-XT1096,-2.039859772,7.910442352,1.206677675,30.6189898,-96.3396592,Y
1500569221830,georgia,motorola-XT1096,-4.874594688,9.260771751,1.810016513,30.6189898,-96.3396592,Y
1500569221880,georgia,motorola-XT1096,-1.78128612,8.370129585,1.359906554,30.6189898,-96.3396592,X
1500569221920,georgia,motorola-XT1096,-3.667917013,9.47146225,0.038307227,30.6189898,-96.3396592,Z
1500569221990,georgia,motorola-XT1096,-2.346317768,9.251194954,-1.436521053,30.6189898,-96.3396592,Z
1500569222060,georgia,motorola-XT1096,-1.8579005,10.17056847,-2.767697096,30.6189898,-96.3396592,Z
1500569222120,georgia,motorola-XT1096,0.565031588,12.928689,-0.268150598,30.6189898,-96.3396592,Z
1500569222160,georgia,motorola-XT1096,1.81959331,11.81777954,3.12203908,30.6189898,-96.3396592,Y
1500569222240,georgia,motorola-XT1096,-3.916913986,9.088389397,2.997540474,30.6189898,-96.3396592,Y
1500569222280,georgia,motorola-XT1096,-1.216254473,9.662998199,1.848323703,30.6189898,-96.3396592,Z
1500569222340,georgia,motorola-XT1096,-3.466804028,11.5879364,3.552995205,30.6189898,-96.3396592,Y
1500569222400,georgia,motorola-XT1096,-1.972822189,9.662998199,2.059013367,30.6189898,-96.3396592,Z
1500569222460,georgia,motorola-XT1096,-1.321599364,11.25274754,0.181959331,30.6189898,-96.3396592,Z
1500569222520,georgia,motorola-XT1096,-1.944091797,7.565677166,-1.541865945,30.6189898,-96.3396592,Z
1500569222580,georgia,motorola-XT1096,-1.417367458,10.43871975,2.087743998,30.6189898,-96.3396592,Z
1500569222660,georgia,motorola-XT1096,-2.920926094,10.16099167,0.89064306,30.6189898,-96.3396592,Y
1500569222700,georgia,motorola-XT1096,-0.162805721,6.83784008,-1.101332784,30.6189898,-96.3396592,X
1500569222750,georgia,motorola-XT1096,-3.878606796,7.460332394,-0.210689753,30.6189898,-96.3396592,Z
1500569222840,georgia,motorola-XT1096,-1.714248419,9.002198219,-2.403778553,30.6189898,-96.3396592,Y
1500569222880,georgia,motorola-XT1096,-7.527369976,12.27746677,3.600879431,30.6189898,-96.3396592,Y
1500569222930,georgia,motorola-XT1096,-4.405331135,10.64940929,2.595314741,30.6189898,-96.3396592,X
1500569222990,georgia,motorola-XT1096,-3.677493811,9.749189377,0.038307227,30.6189898,-96.3396592,Z
1500569223070,georgia,motorola-XT1096,-2.643198729,9.39484787,-0.134075299,30.6189898,-96.3396592,X
1500569223110,georgia,motorola-XT1096,-4.807557106,10.6302557,3.801992416,30.6189898,-96.3396592,X
1500569223170,georgia,motorola-XT1096,-2.978386879,9.059659004,2.384624958,30.6189898,-96.3396592,Z
1500569223240,georgia,motorola-XT1096,-0.900219858,7.671022415,-1.848323703,30.6189898,-96.3396592,X
1500569223290,georgia,motorola-XT1096,-1.953668594,6.95276165,0.59376204,30.6189898,-96.3396592,Y
1500569223340,georgia,motorola-XT1096,-2.260126352,9.749189377,-0.29688102,30.6189898,-96.3396592,Z
1500569223420,georgia,motorola-XT1096,-1.666364431,9.892841339,0.89064306,30.6189898,-96.3396592,Y
1500569223460,georgia,motorola-XT1096,-2.15478158,10.90798283,-2.557007313,30.6189898,-96.3396592,Y
1500569223530,georgia,motorola-XT1096,-1.915361404,11.29105568,-1.139639974,30.6189898,-96.3396592,Y
1500569223590,georgia,motorola-XT1096,-2.662352324,10.40041256,2.355894566,30.6189898,-96.3396592,X
1500569223640,georgia,motorola-XT1096,-1.924938202,10.57279491,-0.33518824,30.6189898,-96.3396592,Y
